scene_id,content_id,content_type,program_name,content_name,description,scene_start_ts,scene_end_ts,llm_version,is_active,content_ratings,ci_content_id,program_id,primary_genre,content_tags,iab_tier1_list,iab_tier2_list,iab_tier3_list,genre_list,sentiment_list,cast_list,garm_all_labels,garm_adult_content,garm_arms_ammunition,garm_crime,garm_death_injury,garm_drugs_tobacco,garm_hate_speech,garm_obscenity,garm_online_piracy,garm_sensitive_social,garm_spam,garm_terrorism,_created_at
41e95132-5a29-4f96-bb37-2e1723ca6d42,358573,MOVIE,Legally Blonde,Legally Blonde,"The video shows a courtroom scene with a woman in pink addressing the court, surrounded by legal professionals and a judge, as a legal argument about mens rea and crime is presented in a serious and formal environment.",4958.328372609542,4977.222247600434,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""War and Conflicts"",""Crime""]",[],[],[],"[""Trust"",""Informative""]","[""Victor Garber"",""Matthew Davis"",""Selma Blair"",""Luke Wilson"",""Reese Witherspoon""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
0d037ff0-58c7-4555-94fd-b962fcf6df39,358573,MOVIE,Legally Blonde,Legally Blonde,"A small dog dressed in pink is seen moving around a pink-themed room, carrying shopping bags, while the dialogue mentions Madonna going into labor and plans to go shopping, creating a light and anticipatory mood.",188.60508324240502,197.61408323806168,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Pets"",""Personal Celebrations & Life Events"",""Shopping""]","[""Grocery Shopping"",""Baby Shower""]",[],[],"[""Joy"",""Anticipation""]",[],[],,,,,,,,,,,,2026-04-22 15:47:15.158947
75ef58b7-630c-479e-8456-f909c2714c6a,358573,MOVIE,Legally Blonde,Legally Blonde,"The clip shows a tense and emotional conversation between two women in an indoor setting, where one woman expresses disappointment and ambivalence towards the other, who appears upset and reflective.",4699.903539400798,4722.259206056687,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Family and Relationships""]","[""Divorce""]",[],"[""Drama""]","[""Trust"",""Sadness""]",[],[],,,,,,,,,,,,2026-04-22 15:47:15.158947
803e5a08-5bb1-42a4-a357-1b5618426d17,358573,MOVIE,Legally Blonde,Legally Blonde,"The video shows students entering and sitting in a college classroom, preparing for a lecture about legal education, with a calm and studious atmosphere.",1518.7672492677877,1538.245040925064,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Education""]","[""College Education""]",[],[],"[""Trust"",""Informative"",""Anticipation""]","[""Selma Blair"",""Reese Witherspoon""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
e4846d47-2ebf-43d0-a55b-44b3b311d41c,358573,MOVIE,Legally Blonde,Legally Blonde,"The clip shows a group of young adults in a classroom or lecture hall setting, engaged in a serious discussion about a legal matter concerning parental rights, creating a mood of thoughtful conflict and interest.",2899.6884569353656,2915.8712902608972,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""War and Conflicts"",""Education""]",[],[],[],"[""Anticipation""]","[""Reese Witherspoon"",""Luke Wilson"",""Selma Blair"",""Matthew Davis""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
1c821471-f2eb-4056-b9d9-640c473cda74,358573,MOVIE,Legally Blonde,Legally Blonde,"The clip shows a group of women in a casual, colorful indoor setting, discussing a friend’s emotional state while drinking and later getting manicures and pedicures, creating a mood of supportive friendship with some underlying sadness.",709.4587496579632,739.9058329766176,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Food & Drink"",""Attractions"",""Style & Fashion""]","[""Bars & Restaurants""]",[],[],"[""Sadness"",""Trust"",""Joy""]","[""Reese Witherspoon""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
6390af04-55fe-4528-8b67-1d4ce139a41d,358573,MOVIE,Legally Blonde,Legally Blonde,"A young woman dressed in a pink bunny costume stands at a lively party, interacting with guests and receiving compliments on her outfit, while the mood is playful with some sarcastic humor and social banter.",2426.298873830258,2455.7866654827085,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Attractions"",""Style & Fashion""]","[""Bars & Restaurants""]",[],[],"[""Anticipation"",""Joy""]","[""Selma Blair"",""Reese Witherspoon""]","[""Swimwear or Underwear"",""Alcohol""]",detected,,,,detected,,,,,,,2026-04-22 15:47:15.158947
3e2c3386-fc33-419b-93ed-7d5e692e3609,358573,MOVIE,Legally Blonde,Legally Blonde,"The clip shows a woman in a spa setting with a blue facial mask and towel on her head, being questioned by two individuals in formal attire about a shooting incident, creating a mood of tension and investigation within a calm, indoor environment.",3778.1910815118313,3799.12866483507,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Family and Relationships"",""Style & Fashion"",""Crime""]",[],[],[],"[""Anticipation"",""Trust""]","[""Reese Witherspoon"",""Luke Wilson""]","[""Violence""]",,,,,,,,,,,,2026-04-22 15:47:15.158947
b40b568e-214b-47e4-9980-7a18b3b20f41,358573,MOVIE,Legally Blonde,Legally Blonde,"Two women are having a heartfelt conversation in a salon setting, with one expressing sadness and frustration over not being able to celebrate her dog's birthday, shown by a photo of the pet.",1998.0794157033733,2008.214540698487,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Family and Relationships"",""Pets""]",[],[],[],"[""Sadness""]","[""Reese Witherspoon""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
f4c0c632-72d2-4fea-8299-4cc53241c4a8,358573,MOVIE,Legally Blonde,Legally Blonde,"The video clip displays the Metro Goldwyn Mayer logo and distribution credit on a black background, serving as an introductory or opening title screen for a movie.",5755.749997225097,5761.672580555575,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Entertainment""]","[""Movies""]",[],[],"[""Informative""]",[],[],,,,,,,,,,,,2026-04-22 15:47:15.158947
ba38123f-be3d-4f70-aae1-b59f226ca14c,358573,MOVIE,Legally Blonde,Legally Blonde,"Two women are seen conversing indoors, one holding a small dog while wearing a bathrobe, and the other dressed casually with a handbag, suggesting a relaxed, domestic environment with a calm and friendly mood.",2399.1884571766614,2410.058389322987,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""Attractions"",""Style & Fashion"",""Pets""]",[],[],[],"[""Trust"",""Joy""]","[""Selma Blair""]",[],,,,,,,,,,,,2026-04-22 15:47:15.158947
1484dcb1-2069-41af-9c7e-7e7dc0bd480d,358573,MOVIE,Legally Blonde,Legally Blonde,"The clip shows a tense conversation between a man in a suit and a woman in an orange prison uniform, suggesting a legal or prison setting where trust and accusations are central to the dialogue and mood.",4738.4837477155315,4759.629872705336,gpt-4.1-mini,True,PG_13,358573,358573,Comedy,"shiny,Comedy,Romance","[""War and Conflicts"",""Education""]","[""Adult Education""]",[],"[""Drama""]","[""Trust""]","[""Selma Blair"",""Luke Wilson""]","[""Harassment""]",,,,,,,,,,,,2026-04-22 15:47:15.158947
